harten-	harten- en schoppenaas;harten- of ruitenkleur
haute	haute couture
Hecke	
heinde	van heinde en verre
heinen	ijzeren heinen;magere heinen
Helmont	van Helmont
helpe	Zo waarlijk helpe mij God Almachtig;God helpe
hemelsnaam	in hemelsnaam
hemelswil	om 's hemelswil
Henck	
hendrik	brave hendrik
hendriken	brave hendriken
henkies	gekke henkies
Herenelderen	's Herenelderen
herin	herin te richten;herin te voeren;herin te treden
herop	herop te starten;herop te bouwen;herop te waarderen;herop te voeden
herten-	herten- en zwijnenpopulaties;herten- en konijnenvlees
heruit	heruit te zenden;heruit te vinden;heruit te geven
hic	hic et nunc
Hinlopen	
hippique	concours hippique
Hippo	Hippo Regius;Augustinus van Hippo
hoc	ad hoc;post hoc
hocus	hocus pocus
Hofmansaffaire	
honden-	honden- en kattenbezitter;honden- en kattenvoer
Honecker	
honoris	honoris causa
Hormuz	
houderschaps-	houderschaps- of aanschafbelastingen;houderschaps- en wegenbelastingen
hour	happy hour;finest hour
huize	van goeden huize;ten huize van
humaine	condition humaine
huns	huns inziens;huns ondanks;huns weegs;het zweet huns aanschijns
huwelijks-	huwelijks- en relatieproblemen;huwelijks- en gezinsmigratie
Huygens	
hystera	hystera protera
hysteron	hysteron proteron
Idi	Idi Amin
idiot	idiot savant
Ilp	Den Ilp
inburgerings-	inburgerings- en taalcursussen;inburgerings- en integratiebeleid
incognita	terra incognita
Indisch-Antarctisch	
in-	in- en uitlaatopeningen;in- en uitvoer
ins	ins en outs
Insolventieregister	Centraal Insolventieregister
Instrumentum	Novum Instrumentum
intellectualis	auctor intellectualis
intensive	intensive care
interruptus	coitus interruptus
ipso	ipso facto;eo ipso
Iskariot	Judas Iskariot
Island	Rhode Island
Jacques-Yves	
Janeiro	
Janszoon	
jetje	van jetje
jeune	jeune premier
Joegor	
jokes	practical jokes;inside jokes;sick jokes
Jozefland	Frans Jozefland
J.R.R.	J.R.R. Tolkien
juan	don juan
juicy	juicy details
julifeesten	11 julifeesten
Julische	
julivieringen	11 julivieringen;21 julivieringen
jure	de jure
Justitia	Vrouwe Justitia
K'ai-Sjek	
Kampf	Mein Kampf
kandidaatstellings-	kandidaatstellings- en verkiezingsprocedures;kandidaatstellings- en verkiez
kantore	ten kantore
Kapela	
Karimata	Straat Karimata
Karische	
karnemelkse	karnemelkse pap
Karnische	
Kaspische	
keel-	keel- en neusamandelen;keel-, neus- en oorarts
keerlen	der keerlen god
kerke	ter kerke
Kerouac	Jack Kerouac
Khomeini	
Kieler	
kilometergebied	20 kilometergebied;30 kilometergebied
kilometergebieden	20 kilometergebieden;30 kilometergebieden
Kitts	
koeriers-	koeriers- en transportbedrijven;koeriers- en expresmarkt
Koerse	Waregem Koerse
koninklijken	van koninklijken bloede
koopmans-	koopmans- en domineesgeest;koopmans- en pakhuizen
Kra	
krisjna	hare krisjna
krisjna's	hare krisjna's
Kuala	Kuala Lumpur
laad-	laad- en loswerkzaamheden;laad- en losopening
Lachmon	
Laconische	
Laet	de Laet;van Laet
Lankaan	
Lankaanse	
Lankanen	
lapis	lapis lazuli
latin	latin lover;latin lovers;latin rock;latin jazz
laude	cum laude
Lawrencebaai	Saint Lawrencebaai
lazuli	lapis lazuli
League	Champions League
Leaguewedstrijd	Champions Leaguewedstrijd
Leeghwater	
Leidsche	
Lejzer	
Leoner	Sierra Leoner
Leoons	
lettre	avant la lettre
libris	ex libris
librissen	ex librissen
licet	Quod licet Iovi non licet bovi;Aliis si licet, tibi non licet
liesje	vlijtig liesje
lijve	aan den lijve
likmevestje	van likmevestje
Lindbergh	
linea	linea recta
lingua	lingua franca
Liparische	
listening	easy listening
Lister	
lognormale	lognormale verdeling
longue	chaise longue
longues	chaises longues
lorraine	quiche lorraine
lorraines	quiche lorraines;quiches lorraines
lorum	in de lorum
